year,registered,sat,absent,fail,A,B,C,D,E,F
2016,1400,1350,50,180,120,220,300,280,250,180
2017,1450,1400,50,175,130,230,310,290,260,175
2018,1480,1430,50,170,135,235,315,295,255,170
2019,1520,1470,50,165,140,240,320,300,260,165
2020,1550,1500,50,160,145,245,325,305,255,160
2021,1580,1530,50,155,150,250,330,310,260,155
2022,1620,1570,50,150,155,255,335,315,265,150
2023,1650,1600,50,145,160,260,340,320,270,145
2024,1680,1630,50,140,165,265,345,325,275,140
2025,1720,1670,50,135,170,270,350,330,280,135
